Date,TripArrYear,Fishery,Lat,Lon,StockArea,InMgmtArea,Stock,InjDet,Biopsy
1/3/2001,2001,T,20.208,-164.379,OutsideEEZ,TRUE,HIPelagic,Serious,No
2/6/2001,2001,T,5.102,-164.158,PalmyraEEZ,FALSE,Palmyra,Serious,No
3/1/2001,2001,T,19,-166.918,JohnstonEEZ,TRUE,HIPelagic,CBD,No
2/15/2002,2002,DS,6.735,-162.073,PalmyraEEZ,FALSE,Palmyra,Serious,No
2/12/2002,2002,DS,5.367,-151.895,OutsideEEZ,FALSE,UnkPelagic,Serious,No
3/16/2002,2002,DS,6.92,-163.33,PalmyraEEZ,FALSE,Palmyra,Serious,No
7/11/2002,2002,DS,15.752,-161.515,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/19/2002,2002,DS,29.153,-149.265,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/7/2003,2003,DS,19.433,-154.15,MHI,TRUE,MHIorHIPelagic,Serious,No
11/3/2003,2003,DS,22.038,-156.413,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/21/2004,2004,DS,17.663,-160.402,OutsideEEZ,TRUE,HIPelagic,Serious,No
2/13/2004,2004,DS,18.155,-152.96,HawaiiEEZ,TRUE,HIPelagic,Serious,No
3/11/2004,2004,DS,17.583,-162.505,OutsideEEZ,TRUE,HIPelagic,Serious,No
3/29/2004,2004,DS,13.843,-161.082,OutsideEEZ,TRUE,HIPelagic,Serious,Yes
8/31/2004,2004,DS,17.047,-157.955,HawaiiEEZ,TRUE,HIPelagic,Dead,No
9/12/2004,2004,DS,18.302,-157.947,HawaiiEEZ,TRUE,HIPelagic,Non-serious,Yes
9/24/2005,2005,DS,21.268,-153.827,HawaiiEEZ,TRUE,HIPelagic,Dead,Yes
9/17/2005,2005,DS,22.457,-151.192,OutsideEEZ,TRUE,HIPelagic,Serious,Yes
2/19/2006,2006,DS,20.258,-166.115,OutsideEEZ,TRUE,HIPelagic,Serious,Yes
4/21/2006,2006,DS,16.782,-157.003,HawaiiEEZ,TRUE,HIPelagic,Serious,No
6/26/2006,2006,DS,29.577,-159.97,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/11/2006,2006,DS,22.813,-157.79,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
4/19/2007,2007,DS,5.342,-164.3,PalmyraEEZ,FALSE,Palmyra,Serious,No
5/23/2007,2007,DS,22.83,-154.943,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
9/16/2007,2007,DS,15.92,-160.11,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
12/7/2007,2007,DS,16.915,-156.385,HawaiiEEZ,TRUE,HIPelagic,Serious,No
4/23/2008,2008,DS,24.342,-158.275,HawaiiEEZ,TRUE,HIPelagic,Serious,No
7/6/2008,2008,DS,20.187,-162.847,HawaiiEEZ,TRUE,HIPelagic,Serious,No
6/12/2008,2008,SS,23.13,-154.903,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
10/24/2008,2008,DS,24.037,-158.468,HawaiiEEZ,TRUE,HIPelagic,Serious,No
2/13/2009,2009,DS,25.482,-158.762,HawaiiEEZ,TRUE,HIPelagic,Serious,No
2/18/2009,2009,DS,24.122,-160.01,HawaiiEEZ,TRUE,HIPelagic,Serious,No
4/14/2009,2009,DS,18.758,-162.51,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/19/2009,2009,DS,18.507,-159.255,HawaiiEEZ,TRUE,HIPelagic,Serious,No
4/22/2009,2009,DS,15.727,-159.928,OutsideEEZ,TRUE,HIPelagic,Dead,Yes
6/4/2009,2009,SS,23.337,-158.657,HawaiiEEZ,TRUE,HIPelagic,Serious,No
6/27/2009,2009,DS,31.498,-161.167,OutsideEEZ,TRUE,HIPelagic,Serious,No
7/31/2009,2009,DS,29.36,-147.233,OutsideEEZ,TRUE,HIPelagic,Serious,No
7/31/2009,2009,DS,29.375,-147.188,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/22/2009,2009,DS,26.108,-155.995,OutsideEEZ,TRUE,HIPelagic,Serious,No
12/23/2009,2009,DS,24.712,-155.073,OutsideEEZ,TRUE,HIPelagic,Serious,No
7/11/2010,2010,DS,22.032,-152.823,HawaiiEEZ,TRUE,HIPelagic,Serious,Yes
7/3/2010,2010,DS,17.11,-157.793,HawaiiEEZ,TRUE,HIPelagic,Serious,Yes
10/22/2010,2010,DS,22.678,-155.642,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
12/2/2010,2010,DS,21.388,-145.068,OutsideEEZ,TRUE,HIPelagic,Serious,No
2/18/2011,2011,DS,21.192,-167.288,HawaiiEEZ,TRUE,HIPelagic,Serious,No
2/18/2011,2011,DS,21.127,-167.243,HawaiiEEZ,TRUE,HIPelagic,CBD,No
5/15/2011,2011,SS,26.317,-162.41,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
9/30/2011,2011,DS,23.44,-156.167,HawaiiEEZ,TRUE,HIPelagic,Serious,No
3/16/2012,2012,DS,18.543,-159.535,HawaiiEEZ,TRUE,HIPelagic,CBD,No
5/3/2012,2012,SS,26.853,-166.227,HawaiiEEZ,TRUE,HIPelagic,CBD,No
10/29/2012,2012,DS,23.02,-159.898,NWHI,TRUE,NWHIorHIPelagic,Serious,No
12/25/2012,2012,DS,22.94,-160.142,NWHI,TRUE,NWHIorHIPelagic,Serious,No
1/15/2013,2013,DS,26.748,-160.945,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
1/29/2013,2013,DS,24.737,-156.623,HawaiiEEZ,TRUE,HIPelagic,Serious,No
2/21/2013,2013,DS,26.348,-157.962,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/20/2013,2013,DS,23.607,-149.837,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
2/3/2014,2014,DS,21.857,-163.62,HawaiiEEZ,TRUE,HIPelagic,Serious,No
3/1/2014,2014,DS,23.005,-147.002,OutsideEEZ,TRUE,HIPelagic,Serious,No
3/1/2014,2014,DS,23.03,-146.99,OutsideEEZ,TRUE,HIPelagic,Serious,No
5/20/2014,2014,SS,23.968,-158.61,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
6/19/2014,2014,DS,26.115,-158.047,OutsideEEZ,TRUE,HIPelagic,Serious,No
6/21/2014,2014,DS,27.618,-166.018,HawaiiEEZ,TRUE,HIPelagic,CBD,Yes
7/11/2014,2014,DS,26.872,-153.147,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
7/11/2014,2014,DS,26.413,-154.085,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/14/2014,2014,DS,27.252,-142.915,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/2/2014,2014,DS,28.91,-150.747,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/30/2014,2014,DS,26.618,-144.115,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/29/2014,2014,DS,26.632,-154.383,OutsideEEZ,TRUE,HIPelagic,Serious,No
3/30/2015,2015,DS,23.737,-142.315,OutsideEEZ,TRUE,HIPelagic,Serious,No
8/18/2015,2015,DS,30.39,-148.587,OutsideEEZ,TRUE,HIPelagic,Serious,No
8/29/2015,2015,DS,28.392,-141.69,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/12/2015,2015,DS,27.99,-157.447,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
11/5/2015,2015,DS,18.248,-162.065,OutsideEEZ,TRUE,HIPelagic,Dead,No
1/28/2016,2016,DS,27.862,-153.582,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/21/2016,2016,DS,15.213,-157.212,OutsideEEZ,TRUE,HIPelagic,CBD,No
5/3/2016,2016,DS,20.667,-137.5,OutsideEEZ,TRUE,HIPelagic,Serious,Yes
5/17/2016,2016,DS,23.873,-143.843,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/1/2016,2016,DS,19.642,-158.557,HawaiiEEZ,TRUE,HIPelagic,Serious,No
9/21/2016,2016,DS,27.282,-149.82,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
10/1/2016,2016,DS,22.372,-151.223,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/14/2016,2016,DS,17.675,-163.687,OutsideEEZ,TRUE,HIPelagic,Serious,No
2/7/2017,2017,DS,23.943,-154.555,OutsideEEZ,TRUE,HIPelagic,Dead,Yes
3/5/2017,2017,DS,25.552,-151.388,OutsideEEZ,TRUE,HIPelagic,Serious,No
3/14/2017,2017,DS,15.075,-165.412,OutsideEEZ,TRUE,HIPelagic,Dead,No
5/22/2017,2017,DS,28.527,-153.813,OutsideEEZ,TRUE,HIPelagic,CBD,No
7/1/2017,2017,DS,16.362,-154.877,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
9/3/2017,2017,DS,14.715,-163.625,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/28/2017,2017,DS,15.352,-163.68,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/28/2017,2017,DS,24.357,-158.452,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/6/2018,2018,DS,16.353,-165.112,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
2/8/2018,2018,DS,21.028,-153.873,HawaiiEEZ,TRUE,HIPelagic,Serious,No
4/26/2018,2018,DS,27.102,-158.407,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/27/2018,2018,DS,27.037,-158.328,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
5/23/2018,2018,DS,17.985,-152.002,HawaiiEEZ,TRUE,HIPelagic,Serious,No
5/24/2018,2018,DS,17.998,-152.1,HawaiiEEZ,TRUE,HIPelagic,Serious,No
6/3/2018,2018,DS,23.248,-157.73,HawaiiEEZ,TRUE,HIPelagic,Serious,No
8/19/2018,2018,DS,29.765,-147.768,OutsideEEZ,TRUE,HIPelagic,Serious,No
8/13/2018,2018,DS,15.827,-163.565,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/31/2018,2018,DS,19.2,-148.827,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/11/2018,2018,DS,23.658,-141.998,OutsideEEZ,TRUE,HIPelagic,Serious,No
12/5/2018,2018,DS,21.253,-170.043,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
12/18/2018,2019,DS,25.698,-155.27,OutsideEEZ,TRUE,HIPelagic,Serious,No
1/10/2019,2019,DS,23.348,-160.598,NWHI,TRUE,NWHIorHIPelagic,Dead,No
1/15/2019,2019,DS,21.338,-162.293,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/29/2019,2019,DS,21.368,-151.097,OutsideEEZ,TRUE,HIPelagic,Serious,No
3/1/2019,2019,DS,13.4,-165.457,OutsideEEZ,TRUE,HIPelagic,Dead,No
5/21/2019,2019,DS,15.373,-157.355,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
5/21/2019,2019,DS,18.065,-152.865,HawaiiEEZ,TRUE,HIPelagic,Non-serious,No
6/12/2019,2019,DS,15.942,-152.857,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/19/2019,2019,DS,23.667,-135.125,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/22/2019,2019,DS,21.698,-170.963,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/22/2019,2019,DS,20.237,-151.618,HawaiiEEZ,TRUE,HIPelagic,Serious,No
11/25/2019,2019,DS,17.367,-153.833,HawaiiEEZ,TRUE,HIPelagic,Serious,No
11/24/2019,2019,DS,18.565,-153.543,HawaiiEEZ,TRUE,HIPelagic,Serious,No
12/5/2019,2019,DS,15.757,-159.973,OutsideEEZ,TRUE,HIPelagic,Dead,No
12/15/2019,2019,DS,16.517,-161.178,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
5/25/2020,2020,SS,24.083,-158.94,HawaiiEEZ,TRUE,HIPelagic,Serious,No
7/31/2020,2020,DS,26.353,-147.19,OutsideEEZ,TRUE,HIPelagic,CBD,No
8/23/2020,2020,DS,17.928,-161.877,OutsideEEZ,TRUE,HIPelagic,Serious,No
10/11/2020,2020,DS,31.01,-169.428,OutsideEEZ,TRUE,HIPelagic,Serious,No
12/12/2020,2020,DS,21.713,-162.36,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/4/2021,2021,DS,19.978,-165.055,OutsideEEZ,TRUE,HIPelagic,Serious,No
1/4/2021,2021,DS,19.92,-164.872,OutsideEEZ,TRUE,HIPelagic,Serious,No
1/18/2021,2021,DS,19.918,-161.45,HawaiiEEZ,TRUE,HIPelagic,Serious,No
3/26/2021,2021,DS,18.9,-160.69,HawaiiEEZ,TRUE,HIPelagic,Serious,No
4/17/2021,2021,DS,19.253,-158.15,HawaiiEEZ,TRUE,HIPelagic,Dead,Yes
4/19/2021,2021,DS,29.813,-163.237,OutsideEEZ,TRUE,HIPelagic,Serious,No
5/6/2021,2021,DS,27.205,-159.107,OutsideEEZ,TRUE,HIPelagic,Serious,No
6/1/2021,2021,DS,28.825,-153.947,OutsideEEZ,TRUE,HIPelagic,Non-serious,No
6/17/2021,2021,DS,29.772,-154.718,OutsideEEZ,TRUE,HIPelagic,Serious,No
8/11/2021,2021,DS,18.668,-148.832,OutsideEEZ,TRUE,HIPelagic,Serious,No
8/28/2021,2021,DS,15.547,-162.543,OutsideEEZ,TRUE,HIPelagic,Dead,No
8/24/2021,2021,DS,24.682,-148.028,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/13/2021,2021,DS,26.302,-157.07,OutsideEEZ,TRUE,HIPelagic,Serious,No
11/19/2021,2021,DS,19.918,-161.862,HawaiiEEZ,TRUE,HIPelagic,Serious,No
12/8/2021,2021,DS,17.698,-155.998,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/13/2022,2022,DS,18.69,-152.595,HawaiiEEZ,TRUE,HIPelagic,Serious,No
1/11/2022,2022,DS,15.527,-162.313,OutsideEEZ,TRUE,HIPelagic,CBD,No
1/24/2022,2022,DS,14.14,-162.948,OutsideEEZ,TRUE,HIPelagic,Serious,No
4/16/2022,2022,DS,15.517,-157.433,OutsideEEZ,TRUE,HIPelagic,Serious,No
9/3/2022,2022,DS,17.305,-153.647,HawaiiEEZ,TRUE,HIPelagic,Serious,No
12/6/2022,2022,DS,16.9,-163.373,OutsideEEZ,TRUE,HIPelagic,Serious,No
12/18/2022,2022,DS,17.413,-163.117,OutsideEEZ,TRUE,HIPelagic,Serious,No
